2009-11-25 01:40:54 status half-installed base-passwd 3.5.20
2009-11-25 01:40:54 status half-installed base-passwd 3.5.20
2009-11-25 01:40:54 status unpacked base-passwd 3.5.20
2009-11-25 01:40:54 status unpacked base-passwd 3.5.20
2009-11-25 01:40:54 upgrade base-files 5lenny4 5lenny4
2009-11-25 01:40:54 status half-configured base-files 5lenny4
2009-11-25 01:40:54 status unpacked base-files 5lenny4
2009-11-25 01:40:54 status half-installed base-files 5lenny4
2009-11-25 01:40:54 status half-installed base-files 5lenny4
2009-11-25 01:40:54 status unpacked base-files 5lenny4
2009-11-25 01:40:54 status unpacked base-files 5lenny4
2009-11-25 01:40:54 install debianutils <none> 2.30
2009-11-25 01:40:54 status half-installed debianutils 2.30
2009-11-25 01:40:54 status unpacked debianutils 2.30
2009-11-25 01:40:54 status unpacked debianutils 2.30
2009-11-25 01:40:54 install libncurses5 <none> 5.7+20081213-1
2009-11-25 01:40:54 status half-installed libncurses5 5.7+20081213-1
2009-11-25 01:40:54 status unpacked libncurses5 5.7+20081213-1
2009-11-25 01:40:54 status unpacked libncurses5 5.7+20081213-1
2009-11-25 01:40:54 install bash <none> 3.2-4
2009-11-25 01:40:54 status half-installed bash 3.2-4
2009-11-25 01:40:54 status unpacked bash 3.2-4
2009-11-25 01:40:54 status unpacked bash 3.2-4
2009-11-25 01:40:54 install bsdutils <none> 1:2.13.1.1-1
2009-11-25 01:40:54 status half-installed bsdutils 1:2.13.1.1-1
2009-11-25 01:40:54 status unpacked bsdutils 1:2.13.1.1-1
2009-11-25 01:40:54 status unpacked bsdutils 1:2.13.1.1-1
2009-11-25 01:40:54 install libattr1 <none> 1:2.4.43-2
2009-11-25 01:40:54 status half-installed libattr1 1:2.4.43-2
2009-11-25 01:40:54 status unpacked libattr1 1:2.4.43-2
2009-11-25 01:40:54 status unpacked libattr1 1:2.4.43-2
2009-11-25 01:40:54 install libacl1 <none> 2.2.47-2
2009-11-25 01:40:54 status half-installed libacl1 2.2.47-2
2009-11-25 01:40:54 status unpacked libacl1 2.2.47-2
2009-11-25 01:40:54 status unpacked libacl1 2.2.47-2
2009-11-25 01:40:55 install libselinux1 <none> 2.0.65-5
2009-11-25 01:40:55 status half-installed libselinux1 2.0.65-5
2009-11-25 01:40:55 status unpacked libselinux1 2.0.65-5
2009-11-25 01:40:55 status unpacked libselinux1 2.0.65-5
2009-11-25 01:40:55 install coreutils <none> 6.10-6
2009-11-25 01:40:55 status half-installed coreutils 6.10-6
2009-11-25 01:40:55 status unpacked coreutils 6.10-6
2009-11-25 01:40:55 status unpacked coreutils 6.10-6
2009-11-25 01:40:55 install libstdc++6 <none> 4.3.2-1.1
2009-11-25 01:40:55 status half-installed libstdc++6 4.3.2-1.1
2009-11-25 01:40:55 status unpacked libstdc++6 4.3.2-1.1
2009-11-25 01:40:55 status unpacked libstdc++6 4.3.2-1.1
2009-11-25 01:40:55 install lzma <none> 4.43-14
2009-11-25 01:40:55 status half-installed lzma 4.43-14
2009-11-25 01:40:55 status unpacked lzma 4.43-14
2009-11-25 01:40:55 status unpacked lzma 4.43-14
2009-11-25 01:40:55 upgrade dpkg 1.14.25 1.14.25
2009-11-25 01:40:55 status half-configured dpkg 1.14.25
2009-11-25 01:40:55 status unpacked dpkg 1.14.25
2009-11-25 01:40:55 status half-installed dpkg 1.14.25
2009-11-25 01:40:56 status half-installed dpkg 1.14.25
2009-11-25 01:40:56 status unpacked dpkg 1.14.25
2009-11-25 01:40:56 status unpacked dpkg 1.14.25
2009-11-25 01:40:56 upgrade perl-base 5.10.0-19lenny2 5.10.0-19lenny2
2009-11-25 01:40:56 status half-configured perl-base 5.10.0-19lenny2
2009-11-25 01:40:56 status unpacked perl-base 5.10.0-19lenny2
2009-11-25 01:40:56 status half-installed perl-base 5.10.0-19lenny2
2009-11-25 01:40:56 status half-installed perl-base 5.10.0-19lenny2
2009-11-25 01:40:56 status unpacked perl-base 5.10.0-19lenny2
2009-11-25 01:40:56 status unpacked perl-base 5.10.0-19lenny2
2009-11-25 01:40:56 install liblocale-gettext-perl <none> 1.05-4
2009-11-25 01:40:56 status half-installed liblocale-gettext-perl 1.05-4
2009-11-25 01:40:56 status unpacked liblocale-gettext-perl 1.05-4
2009-11-25 01:40:56 status unpacked liblocale-gettext-perl 1.05-4
2009-11-25 01:40:56 install libtext-iconv-perl <none> 1.7-1+b1
2009-11-25 01:40:56 status half-installed libtext-iconv-perl 1.7-1+b1
2009-11-25 01:40:56 status unpacked libtext-iconv-perl 1.7-1+b1
2009-11-25 01:40:56 status unpacked libtext-iconv-perl 1.7-1+b1
2009-11-25 01:40:56 install libtext-charwidth-perl <none> 0.04-5+b1
2009-11-25 01:40:56 status half-installed libtext-charwidth-perl 0.04-5+b1
2009-11-25 01:40:56 status unpacked libtext-charwidth-perl 0.04-5+b1
2009-11-25 01:40:56 status unpacked libtext-charwidth-perl 0.04-5+b1
2009-11-25 01:40:56 install libtext-wrapi18n-perl <none> 0.06-6
2009-11-25 01:40:56 status half-installed libtext-wrapi18n-perl 0.06-6
2009-11-25 01:40:56 status unpacked libtext-wrapi18n-perl 0.06-6
2009-11-25 01:40:56 status unpacked libtext-wrapi18n-perl 0.06-6
2009-11-25 01:40:56 install debconf-i18n <none> 1.5.24
2009-11-25 01:40:56 status half-installed debconf-i18n 1.5.24
2009-11-25 01:40:56 status unpacked debconf-i18n 1.5.24
2009-11-25 01:40:56 status unpacked debconf-i18n 1.5.24
2009-11-25 01:40:56 upgrade debconf 1.5.24 1.5.24
2009-11-25 01:40:56 status half-configured debconf 1.5.24
2009-11-25 01:40:56 status unpacked debconf 1.5.24
2009-11-25 01:40:56 status half-installed debconf 1.5.24
2009-11-25 01:40:56 status half-installed debconf 1.5.24
2009-11-25 01:40:56 status unpacked debconf 1.5.24
2009-11-25 01:40:56 status unpacked debconf 1.5.24
2009-11-25 01:40:56 install diff <none> 2.8.1-12
2009-11-25 01:40:56 status half-installed diff 2.8.1-12
2009-11-25 01:40:56 status unpacked diff 2.8.1-12
2009-11-25 01:40:56 status unpacked diff 2.8.1-12
2009-11-25 01:40:56 install libcomerr2 <none> 1.41.3-1
2009-11-25 01:40:56 status half-installed libcomerr2 1.41.3-1
2009-11-25 01:40:56 status unpacked libcomerr2 1.41.3-1
2009-11-25 01:40:56 status unpacked libcomerr2 1.41.3-1
2009-11-25 01:40:56 install e2fslibs <none> 1.41.3-1
2009-11-25 01:40:56 status half-installed e2fslibs 1.41.3-1
2009-11-25 01:40:57 status unpacked e2fslibs 1.41.3-1
2009-11-25 01:40:57 status unpacked e2fslibs 1.41.3-1
2009-11-25 01:40:57 install libpam-runtime <none> 1.0.1-5+lenny1
2009-11-25 01:40:57 status half-installed libpam-runtime 1.0.1-5+lenny1
2009-11-25 01:40:57 status unpacked libpam-runtime 1.0.1-5+lenny1
2009-11-25 01:40:57 status unpacked libpam-runtime 1.0.1-5+lenny1
2009-11-25 01:40:57 install libpam0g <none> 1.0.1-5+lenny1
2009-11-25 01:40:57 status half-installed libpam0g 1.0.1-5+lenny1
2009-11-25 01:40:57 status unpacked libpam0g 1.0.1-5+lenny1
2009-11-25 01:40:57 status unpacked libpam0g 1.0.1-5+lenny1
2009-11-25 01:40:57 install libdb4.6 <none> 4.6.21-11
2009-11-25 01:40:57 status half-installed libdb4.6 4.6.21-11
2009-11-25 01:40:57 status unpacked libdb4.6 4.6.21-11
2009-11-25 01:40:57 status unpacked libdb4.6 4.6.21-11
2009-11-25 01:40:57 install libpam-modules <none> 1.0.1-5+lenny1
2009-11-25 01:40:57 status half-installed libpam-modules 1.0.1-5+lenny1
